,代码,名称,最新价,股数
158,002232,启明信息,12.33,0.0
159,002812,恩捷股份,37.74,6254.259999999998
160,300964,本川智能,34.18,0.0
161,688125,安达智能,32.06,289.21000000000004
162,601231,环旭电子,16.08,744.14
163,688100,威胜信息,39.66,1700.9200000000005
164,300858,科拓生物,15.77,5240.919999999999
165,688230,芯导科技,38.75,30.71
166,600563,法拉电子,85.63,2352.649999999999
167,603083,剑桥科技,35.74,386.57
168,688020,方邦股份,37.24,144.58999999999997
169,603203,快克智能,23.67,1773.4799999999996
170,600179,安通控股,2.66,0.0
171,002650,ST加加,1.94,11.78
172,002857,三晖电气,12.16,0.0
173,300117,*ST嘉寓,1.22,0.0
174,603606,东方电缆,51.07,13153.97
175,002708,光洋股份,7.82,573.0799999999999
176,688097,博众精工,20.39,929.9400000000002
177,300136,信维通信,18.99,4998.45
178,688575,亚辉龙,23.7,7805.000000000002
179,603078,江化微,14.59,314.33
180,600522,中天科技,15.36,55444.890000000014
181,300496,中科创达,55.85,1690.1100000000001
182,688291,金橙子,17.63,
183,603067,振华股份,11.09,350.0
184,000913,钱江摩托,17.7,53.24
185,600774,汉商集团,9.89,0.0
186,600212,绿能慧充,5.84,2465.04
187,001267,汇绿生态,6.37,0.0
188,301345,涛涛车业,65.34,454.88
189,688210,统联精密,22.75,1035.3999999999999
190,301326,捷邦科技,27.17,0.0
191,300167,*ST迪威,1.54,0.0
192,002310,*ST东园,1.54,0.0
193,688600,XD皖仪科,14.39,1867.1699999999998
194,873806,云星宇,8.52,0.0
195,300270,中威电子,6.2,0.0
196,605598,上海港湾,23.88,489.54
197,300951,博硕科技,31.13,50.81
198,000999,华润三九,47.88,15647.000000000002
199,601611,中国核建,8.38,2062.89
200,301389,隆扬电子,16.76,0.0
201,688595,芯海科技,30.97,1691.55
202,300207,欣旺达,15.88,15430.300000000003
203,300688,创业黑马,25.41,0.0
204,300037,新宙邦,32.04,13554.089999999993
205,002759,天际股份,8.5,1860.78
206,605258,协和电子,36.49,0.0
207,603529,爱玛科技,32.24,4864.469999999999
208,688187,时代电气,49.66,4115.12
209,688336,三生国健,22.68,1384.8000000000004
210,300655,晶瑞电材,8.39,1351.51
211,300936,中英科技,38.8,22.96
212,688676,金盘科技,58.47,2795.95
213,002373,千方科技,9.27,13942.440000000004
214,688025,杰普特,45.48,708.2999999999997
215,002579,中京电子,8.33,0.0
216,600418,江淮汽车,16.41,27945.119999999995
217,603986,兆易创新,94.04,12993.269999999995
218,688699,明微电子,31.24,0.0
219,688018,乐鑫科技,80.91,225.18
220,300684,中石科技,17.99,187.11
221,002381,双箭股份,7.03,687.9900000000001
222,300839,博汇股份,5.63,0.0
223,300856,科思股份,36.61,2657.9600000000005
224,688116,天奈科技,25.92,4404.05
225,688299,长阳科技,13.05,647.56
226,688268,华特气体,57.9,357.27
227,603132,金徽股份,13.63,83.44999999999999
228,002808,ST恒久,1.72,0.0
229,300034,钢研高纳,16.65,9859.470000000001
230,688300,联瑞新材,55.01,330.25
231,605358,立昂微,25.09,779.95
232,002700,ST浩源,6.67,0.0
233,300811,铂科新材,42.79,4162.73
234,688368,晶丰明源,56.03,59.410000000000004
